case,location,date,year,race,gender,fatalities,injured,total_victims,location,latitude,longitude,type,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,sources,mental_health_sources,sources_additional_age,summary,,,,,,
T&T Trucking shooting,"Bakersfield, California",9/12/2018,2018,Latino,Male,5,0,5,Workplace,35.349388,-118.916335,Spree,54,N/a,N/a,Yes,N/a,handgun,Smith & Wesson Model 500 (.50N/acaliber revolver),http://www.latimes.com/local/lanow/laN/ameN/abakersfieldN/amassN/ashootingN/a20180914N/astory.html; https://www.cnn.com/2018/09/13/us/californiaN/ashootingsN/amultipleN/adead/index.html; https://www.bakersfield.com/exN/awifeN/ainN/amassN/ashootingN/ahadN/ajustN/afiledN/aforN/achild/article_8d7510c2N/abc38N/a11e8N/abc73N/ac3793e2ec681.html,N/a,N/a,"Javier Casarez, 54, who was going through a bitter divorce, went on a shooting spree targeting his exN/awife and former coworkers at the trucking company. His attack included fatally shooting one victim who he pursued to a nearby sporting goods retailer, and two others at a private residence. After then carjacking a woman who was driving with a child (and letting the two go), Casarez fatally shot himself as law enforcement officials closed in on him.",,,,,,
Fifth Third Center shooting,"Cincinnati, Ohio",9/6/2018,2018,Latino,Male,3,2,5,Workplace,39.101981,-84.511782,Mass,29,Yes,"Perez filed a ""delusional"" lawsuit in 2017 against CNBC and TD Ameritrade; the federal judge who threw out the case said Perez's allegations were ""rambling, difficult to decpipher and borders on delusional.""",Yes,A local gun store,semiautomatic handgun,9mm handgun,https://www.cnn.com/2018/09/07/us/cincinnatiN/ashooting/index.html; https://www.cincinnati.com/story/news/crime/crimeN/aandN/acourts/2018/09/06/omarN/asantaN/aperezN/acincinnatiN/ashooterN/afiledN/alawsuitN/aagainstN/acnbc/1217643002/; https://www.cincinnati.com/story/news/2018/09/07/cincinnatiN/ashootingN/awhatN/aweN/aknowN/asuspect/1221725002/; https://www.cincinnati.com/story/news/2018/09/06/cincinnatiN/ashootingN/asuspectN/aarrestedN/asouthN/acarolinaN/a2014/1218729002/; https://www.cincinnati.com/story/news/crime/2018/09/07/whyN/acincinnatiN/ashooterN/aallowedN/ahaveN/agun/1221091002/,N/a,N/a,"Omar Enrique Santa Perez, 29, walked into the groundN/afloor lobby of a building in downtown Cincinnati shortly after 9 a.m. and opened fire. Within minutes, Perez was fatally wounded in a shootout with law enforcement officers responding to the scene.",,,,,,
Capital Gazette shooting,"Annapolis, Maryland",6/28/2018,2018,White,Male,5,2,7,Workplace,38.994548,-76.543657,Mass,38,N/a,N/a,Yes,N/a,shotgun,12N/agauge pumpN/aaction shotgun,http://www.capitalgazette.com/news/annapolis/bsN/amdN/agazetteN/ashootingN/a20180628N/astory.html; http://www.capitalgazette.com/news/for_the_record/bsN/amdN/aramosN/achargesN/a20180629N/astory.html; https://www.nytimes.com/2018/06/28/us/capitalN/agazetteN/aannapolisN/ashooting.html; https://www.washingtonpost.com/local/publicN/asafety/heavyN/apoliceN/aactivityN/areportedN/aaroundN/acapitalN/agazetteN/anewsroomN/ainN/aannapolis/2018/06/28/32e0123eN/a7b05N/a11e8N/a93ccN/a6d3beccdd7a3_story.html?utm_term=.e8fb121510f7; https://www.washingtonpost.com/local/publicN/asafety/fiveN/adeadN/ainN/ashootingN/aatN/acapitalN/agazetteN/apaperN/asuspectN/ainN/acustody/2018/06/29/374b0292N/a7b7eN/a11e8N/aaeeeN/a4d04c8ac6158_story.html,N/a,N/a,"Jarrod W. Ramos, 38, shot through the glass doors of the paper’s newsroom around 3pm to carry out his attack; police quickly responding to the scene found him hiding under a desk and apprehended him. Ramos had harbored a longstanding grudge against the paper over a 2011 column that had detailed his guilty plea for the harassment of a former female classmate. Ramos had sued the paper for defamation and lost.",,,,,,
Santa Fe High School shooting,"Santa Fe, Texas",5/18/2018,2018,White,Male,10,13,23,School,29.392825,-95.141972,Mass,17,N/a,N/a,TBD,Father's weapons,shotgun; .38 revolver,N/a,https://www.chron.com/news/houstonN/atexas/article/ShotsN/afiredN/aatN/aSantaN/aFeN/aHighN/aSchoolN/a12925050.php; https://www.nytimes.com/2018/05/18/us/schoolN/ashootingN/asantaN/afeN/atexas.html; https://www.aol.com/article/news/2018/05/21/suspectedN/atexasN/agunmanN/astudiedN/apreviousN/amassN/ashootingsN/areport/23439884/,N/a,https://www.chron.com/news/houstonN/atexas/article/ShotsN/afiredN/aatN/aSantaN/aFeN/aHighN/aSchoolN/a12925050.php; https://www.nytimes.com/2018/05/18/us/schoolN/ashootingN/asantaN/afeN/atexas.html; https://www.aol.com/article/news/2018/05/21/suspectedN/atexasN/agunmanN/astudiedN/apreviousN/amassN/ashootingsN/areport/23439884/,"Dimitrios Pagourtzis, a 17N/ayearN/aold student, opened fire at Santa Fe High School with a shotgun and .38 revolver owned by his father; Pagourtzis killed 10 and injured at least 13 others before surrendering to authorities after a standoff and additional gunfire inside the school. (Pagourtzis reportedly had intended to commit suicide.) Investigators also found undetonated explosive devices in the vicinity. (FURTHER DETAILS PENDING.)",,,,,,
Waffle House shooting,"Nashville, Tennessee",4/22/2018,2018,White,Male,4,4,8,Other,36.052521,-86.616944,Mass,29,Yes,"Reinking had a history of erratic behavior and runN/ains with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as “a sovereign citizen.”",Yes,Family member,semiautomatic rifle,ARN/a15,https://www.washingtonpost.com/news/postN/anation/wp/2018/04/23/waffleN/ahouseN/ashootingN/atravisN/areinkingN/amanhuntN/acontinuesN/anashvilleN/apoliceN/asay/?utm_term=.69579db5fdc6; https://www.tennessean.com/story/news/2018/04/23/waffleN/ahouseN/ashootingN/atravisN/areinkingN/asearchN/acontinuesN/aantiochN/anashville/541313002/; https://www.nytimes.com/2018/04/23/us/waffleN/ahouseN/ashootingN/anashville.html; https://www.buzzfeed.com/briannasacks/thisN/aisN/awhatN/aweN/aknowN/aaboutN/atheN/asuspectedN/awaffleN/ahouseN/agunman?utm_term=.ilj2Knad6#.lklzyb3vj; http://www.wkrn.com/news/manhuntN/acontinuesN/aforN/agunmanN/awhoN/akilledN/a4N/aatN/aantiochN/awaffleN/ahouse/1134986998,https://www.buzzfeed.com/briannasacks/thisN/aisN/awhatN/aweN/aknowN/aaboutN/atheN/asuspectedN/awaffleN/ahouseN/agunman?utm_term=.ilj2Knad6#.lklzyb3vj,https://www.washingtonpost.com/news/postN/anation/wp/2018/04/23/waffleN/ahouseN/ashootingN/atravisN/areinkingN/amanhuntN/acontinuesN/anashvilleN/apoliceN/asay/?utm_term=.69579db5fdc6; https://www.tennessean.com/story/news/2018/04/23/waffleN/ahouseN/ashootingN/atravisN/areinkingN/asearchN/acontinuesN/aantiochN/anashville/541313002/; https://www.nytimes.com/2018/04/23/us/waffleN/ahouseN/ashootingN/anashville.html; https://www.buzzfeed.com/briannasacks/thisN/aisN/awhatN/aweN/aknowN/aaboutN/atheN/asuspectedN/awaffleN/ahouseN/agunman?utm_term=.ilj2Knad6#.lklzyb3vj; http://www.wkrn.com/news/manhuntN/acontinuesN/aforN/agunmanN/awhoN/akilledN/a4N/aatN/aantiochN/awaffleN/ahouse/1134986998,"Travis Reinking, 29, opened fire around 3:30 a.m. in the parking lot of a Waffle House in Antioch, and continued shooting as he entered the restaurant. As he attempted to reload his ARN/a15, a bystander heroically wrestled the rifle away from Reinking, who then fled; he was captured by authorities the following day. Reinking had a history of erratic behavior and runN/ains with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as “a sovereign citizen.” ",,,,,,
Yountville veterans home shooting,"Yountville, California",3/9/2018,2018,Asian,Male,3,0,3,Workplace,38.392496,-122.366528,Mass,36,Yes,Wong had served in Afghanistan and had a history of PTSD.,Yes,TBD,semiautomatic rifle; shotgun,N/a,https://www.cnn.com/2018/03/10/us/californiaN/aveteransN/ahomeN/ashooting/index.html; http://www.ktvu.com/news/gunmanN/ainN/ayountvilleN/aveteransN/ahomeN/akillingsN/awasN/aexN/apatient; https://www.washingtonpost.com/news/postN/anation/wp/2018/03/09/policeN/arespondN/atoN/areportsN/aofN/agunfireN/aandN/ahostagesN/atakenN/aatN/acaliforniaN/aveteransN/ahome/?utm_term=.b9dde7ac5f0f,https://www.cnn.com/2018/03/10/us/californiaN/aveteransN/ahomeN/ashooting/index.html,https://www.cnn.com/2018/03/10/us/californiaN/aveteransN/ahomeN/ashooting/index.html; http://www.ktvu.com/news/gunmanN/ainN/ayountvilleN/aveteransN/ahomeN/akillingsN/awasN/aexN/apatient; https://www.washingtonpost.com/news/postN/anation/wp/2018/03/09/policeN/arespondN/atoN/areportsN/aofN/agunfireN/aandN/ahostagesN/atakenN/aatN/acaliforniaN/aveteransN/ahome/?utm_term=.b9dde7ac5f0f,"Army veteran Albert Cheung Wong, 36, stormed a veterans home where he was previously under care, exchanging gunfire with a sheriff’s deputy and taking three women hostage, one of whom he’d previously threatened. After a standoff with law enforcement, he killed the three women and himself.",,,,,,
Marjory Stoneman Douglas High School shooting,"Parkland, Florida",2/14/2018,2018,White,Male,17,17,34,School,26.30483,-80.269511,Mass,19,Yes,Cruz had a long history of behavioral problems and had spent time in mental health clinics.,Yes,A Florida pawn shop,semiautomatic rifle,ARN/a15,https://www.nytimes.com/2018/02/14/us/parklandN/aschoolN/ashooting.html; https://www.nytimes.com/2018/02/15/us/nikolasN/acruzN/afloridaN/ashooting.html; https://www.washingtonpost.com/news/local/wp/2019/01/25/feature/brotherN/aparklandN/ashooterN/anikolasN/acruz/?utm_term=.1cc1aa9bb21a,https://www.nytimes.com/2018/02/15/us/nikolasN/acruzN/afloridaN/ashooting.html,https://www.nytimes.com/2018/02/14/us/parklandN/aschoolN/ashooting.html; https://www.nytimes.com/2018/02/15/us/nikolasN/acruzN/afloridaN/ashooting.html,"Nikolas J. Cruz, 19, heavily armed with an ARN/a15, tactical gear, and “countless magazines” of ammo, according to the Broward County Sheriff, attacked the high school as classes were ending for the day, killing at least 17 people and injuring many others. He was apprehended by authorities shortly after fleeing the campus.",,,,,,
Pennsylvania carwash shooting,"Melcroft, Pennsylvania",1/28/2018,2018,White,Male,4,1,5,Other,40.052151,-79.389166,Mass,28,TBD,N/a,TBD,TBD,semiautomatic rifle and semiautomatic handgun,N/a,http://www.wpxi.com/news/topN/astories/familyN/amembersN/asmallN/acommunityN/ainN/ashockN/aafterN/a4N/akilledN/ainN/ashooting/690497960; http://www.wpxi.com/news/topN/astories/suspectN/ainN/amassN/ashootingN/aatN/acarN/awashN/apronouncedN/adead/691578228,N/a,http://www.wpxi.com/news/topN/astories/familyN/amembersN/asmallN/acommunityN/ainN/ashockN/aafterN/a4N/akilledN/ainN/ashooting/690497960; http://www.wpxi.com/news/topN/astories/suspectN/ainN/amassN/ashootingN/aatN/acarN/awashN/apronouncedN/adead/691578228,"Timothy O'Brien Smith, 28, wearing body armor and wellN/astocked with ammo, opened fire at a carwash early in the morning in this rural community, killing four people. A fifth victim, though not shot, suffered minor injuries. One of the deceased victims, 25N/ayearN/aold Chelsie Cline, had been romantically involved with Smith and had broken off the relationship recently, according to her sister. Smith shot himself in the head and died later that night at the hospital.",,,,,,
Rancho Tehama shooting spree,"Rancho Tehama, California",11/14/2017,2017,White,Male,5,10,15,Other,40.018759,-122.393089,Spree,44,TBD,N/a,No,TBD,semiautomatic rifles,Two illegally modified rifles,https://www.nbcnews.com/news/usN/anews/californiaN/amassN/ashooterN/akilledN/awifeN/aburiedN/aherN/abeneathN/afloorN/an821051; https://www.npr.org/sections/thetwoN/away/2017/11/15/564335359/inN/aharmN/asN/awayN/aschoolN/astaffN/asavedN/astudentsN/aduringN/atehamaN/acountyN/ashooting; https://twitter.com/anblanx/status/930862796123729920,N/a,https://www.nbcnews.com/news/usN/anews/californiaN/amassN/ashooterN/akilledN/awifeN/aburiedN/aherN/abeneathN/afloorN/an821051; https://www.npr.org/sections/thetwoN/away/2017/11/15/564335359/inN/aharmN/asN/awayN/aschoolN/astaffN/asavedN/astudentsN/aduringN/atehamaN/acountyN/ashooting; https://twitter.com/anblanx/status/930862796123729920,"Kevin Janson Neal, 44, went on an approximately 45N/aminute shooting spree in the rural community of Rancho Tehama Reserve in Northern California, including shooting up an elementary school, before being killed by law enforcement officers. Neal had also killed his wife at home.",,,,,,
Texas First Baptist Church massacre,"Sutherland Springs, Texas",11/5/2017,2017,White,Male,26,20,46,Religious,29.273282,-98.056488,Mass,26,Yes,"Kelley had a history of domestic violence, including a court martial and conviction stemming from assaulting his wife and child; he also had a history of cruelty to animals and of stalking and harassing exN/agirlfriends, including an underage girl. He reportedly briefly escaped from a mental health facility in 2012.",Kelley passed federal criminal background checks; the US Air Force failed to provide information on his criminal history to the FBI,Purchased in April 2016 from an Academy Sports & Outdoors store in San Antonio,semiautomatic rifle,Ruger ARN/a556; Kelley also possessed semiautomatic handguns,https://www.washingtonpost.com/news/morningN/amix/wp/2017/11/06/whoN/aisN/adevinN/apatrickN/akelleyN/agunmanN/awhoN/aofficialsN/asayN/akilledN/achurchgoersN/ainN/asutherlandN/asprings/; https://www.washingtonpost.com/news/postN/anation/wp/2017/11/06/investigatorsN/ahuntN/aforN/amotiveN/ainN/atexasN/achurchN/ashootingN/aasN/atheN/agrievingN/aspansN/agenerations/; https://www.washingtonpost.com/news/morningN/amix/wp/2017/11/06/anN/aunlikelyN/aheroN/adescribesN/agunN/abattleN/aandN/a95N/amphN/achaseN/awithN/atexasN/ashootingN/asuspect/; http://www.cnn.com/2017/11/06/us/texasN/achurchN/ashooting/index.html; https://www.usnews.com/news/topN/anews/articles/2017N/a11N/a06/churchN/ashooterN/akilledN/ahimselfN/aafterN/avehicleN/achaseN/asheriffN/atellsN/acbs,http://www.expressnews.com/news/local/article/SuspectedN/agunmanN/aDevinN/aPatrickN/aKelleyN/alivedN/anearN/a12334186.php; http://www.denverpost.com/2017/11/06/texasN/ashootingN/adevinN/apatrickN/akelleyN/acoloradoN/aarrest/; https://www.nbcnews.com/storyline/texasN/achurchN/ashooting/whoN/adevinN/akelleyN/aallegedN/atexasN/achurchN/ashooterN/an817806; https://www.click2houston.com/news/sutherlandN/aspringsN/achurchN/ashooterN/aescapedN/amentalN/ahealthN/afacilityN/amonthsN/aafterN/aattackN/aonN/awifeN/achild,https://www.washingtonpost.com/news/morningN/amix/wp/2017/11/06/whoN/aisN/adevinN/apatrickN/akelleyN/agunmanN/awhoN/aofficialsN/asayN/akilledN/achurchgoersN/ainN/asutherlandN/asprings/; https://www.washingtonpost.com/news/postN/anation/wp/2017/11/06/investigatorsN/ahuntN/aforN/amotiveN/ainN/atexasN/achurchN/ashootingN/aasN/atheN/agrievingN/aspansN/agenerations/; https://www.washingtonpost.com/news/morningN/amix/wp/2017/11/06/anN/aunlikelyN/aheroN/adescribesN/agunN/abattleN/aandN/a95N/amphN/achaseN/awithN/atexasN/ashootingN/asuspect/; http://www.cnn.com/2017/11/06/us/texasN/achurchN/ashooting/index.html; https://www.usnews.com/news/topN/anews/articles/2017N/a11N/a06/churchN/ashooterN/akilledN/ahimselfN/aafterN/avehicleN/achaseN/asheriffN/atellsN/acbs,"Devin Patrick Kelley, a 26N/ayearN/aold exN/aUS Air Force airman, opened fire at the First Baptist Church in Sutherland Springs during Sunday morning services, killing at least 26 people and wounding and injuring 20 others. He left the church and fled in his vehicle after engaging in a gunfight with a local citizen; he soon crashed his vehicle and died from a selfN/ainflicted gunshot wound.",,,,,,
Walmart shooting in suburban Denver,"Thornton, Colorado",11/1/2017,2017,White,Male,3,0,3,Other,39.876374,-104.986132,Mass,47,Unclear,N/a,TBD,N/a,semiautomatic handgun,N/a,https://www.nytimes.com/2017/11/01/us/thorntonN/acoloradoN/awalmartN/ashooting.html; http://www.cnn.com/2017/11/01/us/coloradoN/awalmartN/ashooting/index.html; http://www.thedenverchannel.com/news/crime/coloradoN/awalmartN/ashootingN/asuspectN/ascottN/aostremN/ahadN/arunN/ainsN/awithN/apoliceN/afinancialN/atroubles; http://www.ibtimes.com/whoN/ascottN/aostremN/amanhuntN/aunderwayN/acoloradoN/awalmartN/ashootingN/asuspectN/a2609562,N/a,https://www.nytimes.com/2017/11/01/us/thorntonN/acoloradoN/awalmartN/ashooting.html; http://www.cnn.com/2017/11/01/us/coloradoN/awalmartN/ashooting/index.html; http://www.thedenverchannel.com/news/crime/coloradoN/awalmartN/ashootingN/asuspectN/ascottN/aostremN/ahadN/arunN/ainsN/awithN/apoliceN/afinancialN/atroubles; http://www.ibtimes.com/whoN/ascottN/aostremN/amanhuntN/aunderwayN/acoloradoN/awalmartN/ashootingN/asuspectN/a2609562,"Scott Allen Ostrem, 47, walked into a Walmart in a suburb north of Denver and fatally shot two men and a woman, then left the store and drove away. After an allN/anight manhunt, Ostrem, who had financial problems but no serious criminal history, was captured by police after being spotted near his apartment in Denver.",,,,,,
Edgewood businees park shooting,"Edgewood, Maryland",10/18/2017,2017,Black,Male,3,3,6,Workplace,39.452189,-76.309988,Mass,37,Unclear,N/a,No,Unclear,handgun,.380N/acaliber; make unclear,http://www.baltimoresun.com/news/maryland/harford/aegis/phN/aagN/aedgewoodN/ashootingN/a20171018N/astory.html; http://www.cnn.com/2017/10/18/us/marylandN/aharfordN/acountyN/ashooting/index.html,N/a,http://www.baltimoresun.com/news/maryland/harford/aegis/phN/aagN/aedgewoodN/ashootingN/a20171018N/astory.html; http://www.cnn.com/2017/10/18/us/marylandN/aharfordN/acountyN/ashooting/index.html,"Radee Labeeb Prince, 37, fatally shot three people and wounded two others around 9am at Advance Granite Solutions, a home remodeling business where he worked near Baltimore. Hours later he shot and wounded a sixth person at a car dealership in Wilmington, Delaware. He was apprehended that evening following a manhunt by authorities.",,,,,,
Las Vegas Strip massacre,"Las Vegas, Nevada",10/1/2017,2017,White,Male,58,546,604,Other,36.095739,-115.171544,Mass,64,TBD,Perpetrator's history unclear. In 1969 Paddock's father was classified by the FBI as a dangerous psychopath with suicidal tendencies; psychopathy can be heritable (see Mother Jones sourcing). ,Yes,Two gun shops in Nevada,"23 firearms, mostly rifles; including scopes, and two modified for ""fully automatic"" firing; two were mounted on tripods","ARN/a15N/astyle and AKN/a47N/astyle rifles and ""a large cache of ammunition""; four Daniel Defense DDM4 rifles, three FNN/a15s and other rifles made by Sig Sauer.","https://www.lvmpd.com/enN/aus/Documents/1_October_FIT_Report_01N/a18N/a2018_Footnoted.pdf; https://www.nytimes.com/2017/10/02/us/stephenN/apaddockN/avegasN/ashooter.html; https://www.wsj.com/articles/lasN/avegasN/asuspectN/alikelyN/ausedN/aautomaticN/arifleN/ainN/amassacreN/a1506966716; https://www.usatoday.com/story/news/nation/2017/10/02/lasN/avegasN/ashooting/722191001/; https://www.usatoday.com/story/news/nation/2017/10/02/lasN/avegasN/ashooting/722191001/; http://www.latimes.com/nation/laN/alasN/avegasN/ashootingN/aliveN/aupdatesN/apaddockN/ahadN/a19N/ariflesN/ainN/aroomN/a1506985512N/ahtmlstory.html; https://www.nytimes.com/2017/10/02/us/stephenN/apaddockN/avegasN/ashooter.html; https://www.usatoday.com/story/news/nation/2017/10/06/hereN/aallN/avictimsN/alasN/avegasN/ashooting/733236001/; https://www.reviewjournal.com/crime/shootings/lastN/aofN/alocalN/ahospitalsN/apatientsN/ainN/alasN/avegasN/ashootingN/areleased/; *Note: casualty count from LVMPD report 1N/a18N/a18: ""deaths of 58 innocent concert goers and injuring more than
700""",https://www.nytimes.com/2017/10/13/us/stephenN/apaddockN/afatherN/avegas.html; http://www.motherjones.com/crimeN/ajustice/2017/10/theN/alasN/avegasN/ashooterN/adidntN/ajustN/asnapN/atheyN/aneverN/ado/,"https://www.lvmpd.com/enN/aus/Documents/1_October_FIT_Report_01N/a18N/a2018_Footnoted.pdf; https://www.nytimes.com/2017/10/02/us/stephenN/apaddockN/avegasN/ashooter.html; https://www.wsj.com/articles/lasN/avegasN/asuspectN/alikelyN/ausedN/aautomaticN/arifleN/ainN/amassacreN/a1506966716; https://www.usatoday.com/story/news/nation/2017/10/02/lasN/avegasN/ashooting/722191001/; https://www.usatoday.com/story/news/nation/2017/10/02/lasN/avegasN/ashooting/722191001/; http://www.latimes.com/nation/laN/alasN/avegasN/ashootingN/aliveN/aupdatesN/apaddockN/ahadN/a19N/ariflesN/ainN/aroomN/a1506985512N/ahtmlstory.html; https://www.nytimes.com/2017/10/02/us/stephenN/apaddockN/avegasN/ashooter.html; https://www.usatoday.com/story/news/nation/2017/10/06/hereN/aallN/avictimsN/alasN/avegasN/ashooting/733236001/; https://www.reviewjournal.com/crime/shootings/lastN/aofN/alocalN/ahospitalsN/apatientsN/ainN/alasN/avegasN/ashootingN/areleased/; *Note: casualty count from LVMPD report 1N/a18N/a18: ""deaths of 58 innocent concert goers and injuring more than
700""","Stephen Craig Paddock, 64, fired a barrage of rapid gunfire—using semiautomatic rifles modified with ""bump stocks""—at thousands of concertgoers on the Las Vegas Strip late on a Sunday night; Paddock had positioned himself in a corner suite on the 32nd floor of the Mandalay Bay Resort and Casino, where he took aim from windows he'd smashed open. Police responding to the attack found Paddock inside the hotel suite, deceased from a selfN/ainflicted gunshot.",,,,,,
San Francisco UPS shooting,"San Francisco, California",6/14/2017,2017,Asian,Male,3,2,5,Workplace,37.765947,-122.406087,Mass,38,Yes,"Lam had a history of domestic, work conflict",No,Unclear; the firearm was stolen in Utah. A second handgun Lam had (also stolen) was unused in the attack.,two handguns,MACN/a10N/astyle “assault pistol”; 30N/around magazine. An additional box of ammunition.,http://www.nbcbayarea.com/news/local/ActiveN/aShooterN/aSanN/aFranciscoN/aPoliceN/a428441423.html; https://apnews.com/2c1690393510447995018b0f9467b44c?utm_campaign=SocialFlow&utm_source=Twitter&utm_medium=AP; http://www.sfchronicle.com/bayarea/article/PoliceN/aswarmN/aUPSN/abuildingN/ainN/aSFN/aonN/areportN/aofN/a11219519.php; https://www.pressroom.ups.com/pressroom/ContentDetailsViewer.page?ConceptType=PressReleases&id=1497461182413N/a836; http://www.foxnews.com/us/2017/06/15/sanN/afranciscoN/aupsN/afacilityN/ashootingN/agunmanN/aidentifiedN/aasN/apoliceN/aseekN/amotive.html; http://www.sfgate.com/crime/article/UPSN/ashooterN/ainN/aSanN/aFranciscoN/ausedN/astolenN/agunN/awithN/a11243414.php,http://www.ktvu.com/news/ktvuN/alocalN/anews/261771610N/astory; https://twitter.com/LauraGarciaCann/status/875072768471117824; http://heavy.com/news/2017/06/jimmyN/alamN/aupsN/asanN/afranciscoN/ashootingN/asuspect/; http://heavy.com/news/2017/06/jimmyN/alamN/aupsN/asanN/afranciscoN/ashootingN/asuspect/,http://www.nbcbayarea.com/news/local/ActiveN/aShooterN/aSanN/aFranciscoN/aPoliceN/a428441423.html; https://apnews.com/2c1690393510447995018b0f9467b44c?utm_campaign=SocialFlow&utm_source=Twitter&utm_medium=AP; http://www.sfchronicle.com/bayarea/article/PoliceN/aswarmN/aUPSN/abuildingN/ainN/aSFN/aonN/areportN/aofN/a11219519.php; https://www.pressroom.ups.com/pressroom/ContentDetailsViewer.page?ConceptType=PressReleases&id=1497461182413N/a836; http://www.foxnews.com/us/2017/06/15/sanN/afranciscoN/aupsN/afacilityN/ashootingN/agunmanN/aidentifiedN/aasN/apoliceN/aseekN/amotive.html; http://www.sfgate.com/crime/article/UPSN/ashooterN/ainN/aSanN/aFranciscoN/ausedN/astolenN/agunN/awithN/a11243414.php,"Jimmy Lam, 38, fatally shot three coworkers and wounded two others inside a UPS facility in San Francisco. Lam killed himself as law enforcement officers responded to the scene.",,,,,,
Pennsylvania supermarket shooting,"Tunkhannock, Pennsylvania",6/7/2017,2017,White,Male,3,0,3,Workplace,41.529546,-75.94722,Mass,24,Unclear,N/a,TBD,N/a,shotguns,N/a,http://www.pressconnects.com/story/news/local/pennsylvania/2017/06/08/deadN/amurderN/asuicideN/apaN/aweis/102621742/; https://www.washingtonpost.com/news/morningN/amix/wp/2017/06/09/killerN/ainN/asupermarketN/ashootingN/apostedN/achillingN/avideosN/aonlineN/alaudingN/acolumbineN/amassacre/?utm_term=.4cf2327eb879; https://www.cbsnews.com/news/weissN/asupermarketN/ashootingN/aspreeN/arandyN/astairN/asparedN/acoworker/,N/a,http://www.pressconnects.com/story/news/local/pennsylvania/2017/06/08/deadN/amurderN/asuicideN/apaN/aweis/102621742/; https://www.washingtonpost.com/news/morningN/amix/wp/2017/06/09/killerN/ainN/asupermarketN/ashootingN/apostedN/achillingN/avideosN/aonlineN/alaudingN/acolumbineN/amassacre/?utm_term=.4cf2327eb879; https://www.cbsnews.com/news/weissN/asupermarketN/ashootingN/aspreeN/arandyN/astairN/asparedN/acoworker/,"Randy Stair, a 24N/ayearN/aold worker at Weis grocery fatally shot three of his fellow employees. He reportedly fired 59 rounds with a pair of shotguns before turning the gun on himself as another coN/aworker fled the scene for help and law enforcement responded.",,,,,,
Florida awning manufacturer shooting,"Orlando, Florida",6/5/2017,2017,N/a,Male,5,0,5,Workplace,28.580295,-81.294086,Mass,45,Unclear,N/a,TBD,N/a,semiautomatic handgun,N/a,http://www.postandcourier.com/news/multipleN/apeopleN/adeadN/afollowingN/ashootingN/anearN/aorlandoN/amondayN/amorning/article_918fe64cN/a49f6N/a11e7N/ab071N/aa3fbdb04ebcc.html; http://www.mcclatchydc.com/news/politicsN/agovernment/nationalN/apolitics/article154471839.htmlhttp://edition.cnn.com/2017/06/05/us/orlandoN/afatalities/; http://www.orlandosentinel.com/news/orlandoN/aworkplaceN/ashooting/osN/ajohnN/arobertN/aneumannN/ashootingN/asuspectN/a20170605N/astory.html,N/a,http://www.postandcourier.com/news/multipleN/apeopleN/adeadN/afollowingN/ashootingN/anearN/aorlandoN/amondayN/amorning/article_918fe64cN/a49f6N/a11e7N/ab071N/aa3fbdb04ebcc.html; http://www.mcclatchydc.com/news/politicsN/agovernment/nationalN/apolitics/article154471839.htmlhttp://edition.cnn.com/2017/06/05/us/orlandoN/afatalities/; http://www.orlandosentinel.com/news/orlandoN/aworkplaceN/ashooting/osN/ajohnN/arobertN/aneumannN/ashootingN/asuspectN/a20170605N/astory.html,"John Robert Neumann, Jr., 45, a former employee of manufacturer Fiamma Inc. fatally shot five workers at the company, and then killed himself on the scene. He'd been fired from the company in April. The attack took place a week before the oneN/ayear anniversary of the Orlando nightclub massacre.",,,,,,
