case,location,date,year,race,gender,fatalities,injured,total_victims,location,latitude,longitude,type,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,sources,mental_health_sources,sources_additional_age,summary,,,,,,
El Paso Walmart mass shooting,"El Paso, Texas",8/3/2019,2019,White,Male,22,26,48,Workplace,31.771068,-106.375655,Mass,21,N/a,N/a,Yes,N/a,semiautomatic rifle,"AKN/a47N/astyle rifle, per authorities",https://www.washingtonpost.com/nation/2019/08/04/investigatorsN/asearchN/aanswersN/aafterN/agunmanN/akillsN/aelN/apaso/; https://www.nytimes.com/2019/08/04/us/massN/ashootingsN/adaytonN/aelN/apaso.html; https://www.apnews.com/5fb2144947974631912d1efa889f932b,N/a,N/a,"Patrick Crusius, 21, who was apprehended by police, posted a soN/acalled manifesto online shortly before the attack espousing ideas of violent white nationalism and hatred of immigrants. ""This attack is a response to the Hispanic invasion of Texas,"" he allegedly wrote in the document.",,,,,,
Gilroy garlic festival shooting,"Gilroy, California",7/28/2019,2019,N/a,Male,3,12,15,Other,36.997191,-121.584819,Mass,19,TBD,N/a,Yes,"Nevada, on July 9",semiautomatic rifle,"AKN/a47N/astyle rifle, per authorities",https://www.cbsnews.com/liveN/anews/garlicN/afestivalN/amassN/ashootingN/agilroyN/acaliforniaN/avictimsN/asuspectN/asantinoN/awilliamN/aleganN/aliveN/aupdates/; https://www.sfgate.com/news/article/ReportN/aSuspectN/aIDN/ainN/aGilroyN/aGarlicN/aFestivalN/a14192736.php; https://www.nytimes.com/2019/07/29/us/gilroyN/afestivalN/ashooting.html; https://www.latimes.com/california/story/2019N/a07N/a29/whatN/aweN/aknowN/aaboutN/agilroyN/agarlicN/afestivalN/ashootingN/asuspectN/asantinoN/awilliamN/alegan; https://www.washingtonpost.com/nation/2019/07/29/multipleN/apeopleN/areportedlyN/ainjuredN/ashootingN/acaliforniaN/afoodN/afestival/; https://heavy.com/news/2019/07/santinoN/awilliamN/alegan/; https://www.cnn.com/2019/08/06/us/gilroyN/afestivalN/ashooting/index.html,N/a,N/a,"Santino William LeGan, 19, fired indiscriminately into the crowd near a concert stage at the festival. He used an AKN/a47N/astyle rifle, purchased legally in Nevada three weeks earlier. After apparently pausing to reload, he fired additional multiple rounds before police shot him and then he killed himself. A witness described overhearing someone shout at LeGan, ""Why are you doing this?"" LeGan, who wore camouflage and tactical gear, replied: “Because I'm really angry."" The murdered victims included a 13N/ayearN/aold girl, a man in his 20s, and sixN/ayearN/aold Stephen Romero.",,,,,,
Virginia Beach municipal building shooting,"Virginia Beach, Virginia",5/31/2019,2019,Black,Male,12,4,16,Workplace,36.75442,-76.060378,Mass,40,TBD,N/a,Yes,N/a,2 handguns,.45N/acaliber handguns; noise suppressor (silencer); several highN/acapacity magazines,https://www.washingtonpost.com/local/publicN/asafety/virginiaN/abeachN/aofficialsN/aexpectN/atoN/areleaseN/aadditionalN/adetailsN/aofN/amassN/ashooting/2019/06/02/a001b856N/a852fN/a11e9N/aa870N/ab9c411dc4312_story.html; https://pilotonline.com/news/local/virginiaN/abeachN/amassN/ashooting/article_e15ea290N/a853fN/a11e9N/aaa50N/a93751bba3c3b.html; https://pilotonline.com/news/local/virginiaN/abeachN/amassN/ashooting/article_c8353020N/a84a1N/a11e9N/aaa12N/ad3bf967368c4.html; https://www.npr.org/2019/06/04/729413913/doN/aextendedN/amagazinesN/afacilitateN/amassN/ashootings; https://www.nbcnews.com/news/usN/anews/virginiaN/abeachN/ashooterN/akilledN/a12N/ausingN/asilencerN/ahighN/acapacityN/amagazineN/an1012771,N/a,N/a,"DeWayne Craddock, 40, a municipal city worker wielding handguns, a suppressor and highN/acapacity magazines, killed en masse inside a Virginia Beach muncipal building late in the day on a Friday, before dying in a prolonged gun battle with police. Craddock reportedly had submitted his resignation from his job that morning. He was a veteran of the Virginia Army National Guard, and ""had a shaved head, bodybuilder’s physique and cameras in the windows of his house on a peaceful culN/adeN/asac,"" according to the Washington Post.",,,,,,
Harry Pratt Co. warehouse shooting,"Aurora, Illinois",2/15/2019,2019,Black,Male,5,6,11,Workplace,41.753725,-88.331057,Mass,45,Yes,(pending),No,N/a,handgun,"Smith & Wesson handgun, with a green sighting laser",https://www.washingtonpost.com/nation/2019/02/16/manN/akillsN/afiveN/awarehouseN/ashootingN/aspreeN/ashortlyN/aafterN/abeingN/afiredN/aillinoisN/apoliceN/asay/?utm_term=.9863ec4ffc41; https://www.cnn.com/2019/02/17/us/auroraN/ashootingN/atermination/index.html; https://www.wsj.com/articles/companiesN/arollN/aoutN/agunshotN/adetectorsN/aatN/atheN/aofficeN/a11550575801; https://www.cbsnews.com/news/garyN/amartinN/aauroraN/aillinoisN/aplantN/agunmanN/athreatenedN/aviolenceN/aifN/afiredN/aprosecutorsN/asay/,N/a,N/a,"Gary Martin, 45, went on a rampage inside the warehouse in response to being fired from his job and died soon thereafter in a shootout with police. Among his victims were five dead coworkers and five injured police officers. Martin had a felony record and lengthy history of domestic violence; he was able to obtain a gun despite having had his Illinois firearms ownership identification card revoked. According to a report from prosecutors, Martin told a coN/aworker the morning of the shooting that if he was fired he was going to kill employees and police.",,,,,,
Pennsylvania hotel bar shooting,"State College, Pennsylvania",1/24/2019,2019,White,Male,3,1,4,Other,40.785142,-77.839411,Spree,21,N/a,N/a,Yes,N/a,handgun,N/a,http://www.wistv.com/2019/01/26/detailsN/aemergeN/aaboutN/ashootingN/arampageN/anearN/apennN/astate/; https://www.pennlive.com/news/2019/01/stateN/acollegeN/ashooterN/apleadedN/aguiltyN/atoN/aduiN/acrashN/achargesN/adaysN/abeforeN/akillings.html; https://www.pennlive.com/news/2019/01/manN/awhoN/akilledN/a3N/ainN/astateN/acollegeN/awantedN/atoN/abeN/aaN/acopN/arelativesN/asay.html,N/a,N/a,"Jordan Witmer, 21, shot three people at a Ramada Hotel bar near Penn State University, including a former girlfriend he was there with. He then fled the bar, crashed his car about a mile away, and stormed into a random house, fatally shooting an elderly resident and then himself. Witmer, who had a legal carry permit for his handgun, had just finished a threeN/ayear stint in the US Army; ten days prior to the attack he had been convicted on drunk drivingN/arelated charges in Kentucky, where he'd been stationed. ",,,,,,
SunTrust bank shooting,"Sebring, Florida",1/23/2019,2019,White,Male,5,0,5,Workplace,27.471043,-81.45847,Mass,21,Yes,Xaver was reported to have a lenghty history of expressing violent desires; an exN/agirlfriend said she first met him at a psychiatric hospital in 2013.,Yes,N/a,handgun,9 mm handgun,https://wsbt.com/news/local/classmateN/asaysN/afloridaN/abankN/ashooterN/awhoN/aallegedlyN/akilledN/a5N/aattendedN/abremenN/ahighN/aschool; https://www.washingtonpost.com/nation/2019/01/23/severalN/apeopleN/ashotN/aafterN/agunmanN/abarricadesN/ahimselfN/afloridaN/abankN/aauthoritiesN/asay/; https://www.wptv.com/news/state/accusedN/abankN/ashooterN/azephenN/axaverN/afascinatedN/awithN/aviolenceN/aexN/agirlfriendN/asays; https://www.npr.org/2019/01/24/688183605/manN/achargedN/awithN/amurderN/aafterN/aallegedlyN/akillingN/a5N/awomenN/aatN/asuntrustN/abankN/ainN/aflor; https://www.wesh.com/article/sebringN/abankN/ashootingN/alatest/26012533; https://www.apnews.com/c3523d282b2942739240731daaf797c2,https://wsbt.com/news/local/classmateN/asaysN/afloridaN/abankN/ashooterN/awhoN/aallegedlyN/akilledN/a5N/aattendedN/abremenN/ahighN/aschool; https://www.washingtonpost.com/nation/2019/01/23/severalN/apeopleN/ashotN/aafterN/agunmanN/abarricadesN/ahimselfN/afloridaN/abankN/aauthoritiesN/asay/,N/a,"Zephen A. Xaver, 21, fatally shot five women inside a bank and then called the police to confess. He was armed with a handgun and wore a bulletproof vest. He reportedly ordered the women to lie down on the floor and shot them executionN/astyle. After a standoff with police, he surrendered and was taken into custody. A week prior, Xaver had quit a job as a prison guard trainee, and authorities said they believed the shooting was ""a random act"" and that roberry did not appear to be a motive. An exN/agirlfriend in Indiana told local media she'd been “scared for years” by Xaver’s talk of violence and death, but that her warnings to others (who she did not identify) were not taken seriously. She said she’d first met Xaver in a psychiatric hospital in 2013. In March 2017, Michigan State Police documented an incident in which Xaver indicated he was “possibly thinking of suicide by cop and taking hostages.""",,,,,,
Mercy Hospital shooting,"Chicago, Illinois",11/19/2018,2018,Latino,Male,3,0,3,Workplace,41.847667,-87.622009,Mass,32,N/a,N/a,N/a,N/a,semiautomatic handgun,9mm handgun,https://www.cnn.com/2018/11/19/us/mercyN/ahospitalN/achicagoN/ashooting/index.html; https://www.chicagotribune.com/news/local/breaking/ctN/ametN/ashootingN/amercyN/ahospitalN/achicagoN/a20181119N/astory.html; https://6abc.com/chicagoN/ashootingN/a4N/adeadN/aincludingN/aofficerN/agunman/4720955/; https://chicago.cbslocal.com/2018/11/19/mercyN/ahospitalN/agunmanN/aofficerN/akilled; https://abc7ny.com/mercyN/ahospitalN/achicagoN/ashootingN/a4N/adeadN/aincludingN/aofficerN/agunman/4720765/; https://abc7chicago.com/mercyN/ahospitalN/agunmanN/awhatN/aweN/aknow/4725117/,N/a,N/a,"Juan Lopez, 32, confronted his former fiancé, ER doctor Tamara O'Neal, before shooting her and opening fire on others at the hospital, including a responding police officer, Samuel Jimenez, and a pharmacy employee, Dayna Less. Lopez was fatally shot by a responding SWAT officer. Lopez had a history of domestic abuse against an exN/awife, and was kicked out of a fire department training academy for misconduct against female cadets.",,,,,,
Thousand Oaks nightclub shooting,"Thousand Oaks, California",11/7/2018,2018,N/a,Male,12,22,34,Other,34.176946,-118.874793,Mass,28,Yes,"Per the LATimes: ""Sheriff Geoff Dean said his department had had several interactions with Long, including a call to his home in April for a complaint of disturbing the peace. Deputies at the time said Long was irate and acting irrationally, Dean said. They called in mental health professionals to evaluate him, and they concluded he did not need to be taken into custody.""",Yes,A gun store in Simi Valley,semiautomatic handgun,"Glock 21, .45 caliber; highN/acapacity magazine",http://www.latimes.com/local/lanow/laN/ameN/alnN/athousandN/aoaksN/a20181107N/astory.html; https://www.washingtonpost.com/nation/2018/11/08/multipleN/ainjuriesN/areportedN/abarN/ashootingN/athousandN/aoaksN/acalif/; https://www.nytimes.com/2018/11/08/us/shootingN/acaliforniaN/athousandN/aoaks.html; https://www.nytimes.com/2018/11/08/us/ianN/adavidN/alongN/acaliforniaN/ashooter.html; https://www.wsj.com/articles/multipleN/ainjuriesN/areportedN/ainN/abarN/ashootingN/ainN/athousandN/aoaksN/acaliforniaN/a1541666907,http://www.latimes.com/local/lanow/laN/ameN/alnN/athousandN/aoaksN/a20181107N/astory.html,N/a,"Ian David Long, 28, dressed in black and armed with a handgun and a “smoke device,” approached the Borderline Bar & Grill — a country music venue popular with college students — close to midnight and opened fire, killing a security guard and then others in the club, including a sheriff’s deputy responding to the attack. Long was found dead at the scene from apparent suicide. He was a former Marine and had a history of interactions with local law enforcement, including a mental health evaluation in which he’d been cleared.",,,,,,
Tree of Life synagogue shooting,"Pittsburgh, Pennsylvania",10/27/2018,2018,White,Male,11,6,17,Religious,40.443898,-79.921398,Mass,46,N/a,N/a,Yes,"(Unclear; investigators confirmed he owned 10 guns in total, all purchased and possessed legally, and had a handgun license)",semiautomatic rifle; semiautomatic handguns,ARN/a15; Glock .357 (3),https://www.nytimes.com/2018/10/27/us/activeN/ashooterN/apittsburghN/asynagogueN/ashooting.html; https://www.cnn.com/us/liveN/anews/pittsburghN/asynagogueN/ashooting/h_0c180f52c8d032fd47eef570cc5065c2; https://www.nytimes.com/2018/10/30/us/ar15N/agunN/apittsburghN/ashooting.html,N/a,N/a,"Robert D. Bowers, 46, shouted antiN/aSemitic slurs as he opened fire inside the Tree of Life synagogue during Saturday morning worship. He was armed with an assault rifle and multiple handguns and was apprehended after a standoff with police. His social media accounts contained virulent antiN/aSemitic content, and references to migrant caravan ""invaders"" hyped by President Trump and the Republican party ahead of the 2018 midterms elections.",,,,,,
Rite Aid warehouse shooting,"Perryman, Maryland",9/20/2018,2018,Black,Female,3,3,6,Workplace,39.455658,-76.208485,Mass,26,N/a,N/a,Yes,N/a,semiautomatic handgun,Glock 9 mm,http://www.baltimoresun.com/news/maryland/crime/bsN/amdN/aharfordN/ashootingN/a20180920N/astory.html; https://www.washingtonpost.com/local/publicN/asafety/marylandN/asheriffsN/aofficeN/asaysN/amultipleN/avictimsN/ainN/ashooting/2018/09/20/9d2c6464N/abcdaN/a11e8N/abe70N/a52bd11fe18af_story.html; https://www.cnn.com/2018/09/20/us/marylandN/ashooting/index.html; https://heavy.com/news/2018/09/snochiaN/amoseley/,N/a,N/a,"Snochia Moseley, 26, reportedly a disgruntled employee, shot her victims outside the building and on the warehouse floor; she later died from a selfN/ainflicted gunshot at a nearby hospital. (No law enforcement officers responding to her attack fired shots.)",,,,,,
